w,x,y,z,North,East,Down
0.715753,-0.01553,0.0166313,0.697983,10.1955,8.21208,-0.855973
0.715331,0.0289285,-0.0268636,0.69767,10.1964,8.42164,-0.873839
0.71553,0.0133067,-0.0118725,0.698354,10.1974,8.68265,-0.884091
0.715339,-0.00510086,0.00624539,0.698731,10.1968,8.94251,-0.879237
0.71528,-0.0178646,0.0174339,0.698393,10.1822,9.22311,-0.865214
0.715401,0.0260031,0.0733081,0.694371,10.1625,9.43173,-0.868342
0.716091,0.00916934,0.0597506,0.695385,10.071,9.6144,-0.88172
0.717114,-0.0101347,0.0374097,0.695878,9.92023,9.7229,-0.890864
0.717266,-0.0186399,0.0206022,0.696246,9.74292,9.78678,-0.890027
0.716722,0.0267291,0.0579952,0.694429,9.53042,9.82834,-0.880701
0.715873,0.0112747,0.0328393,0.697367,9.30515,9.83423,-0.861841
0.716559,-0.00793671,0.00335077,0.697474,9.00216,9.81672,-0.841902
0.717347,-0.0174053,-0.0123683,0.696389,8.74588,9.80261,-0.848085
0.715632,0.0288153,0.0310702,0.697191,8.50036,9.78148,-0.865365
0.7141,0.0159116,0.0150267,0.699701,8.28927,9.76249,-0.880786
0.715126,-0.00252433,-0.00603144,0.698965,8.03562,9.74518,-0.892328
0.716198,-0.0136509,-0.0169095,0.697558,7.75515,9.74543,-0.883188
0.715722,0.0308818,0.0305318,0.697033,7.53657,9.7494,-0.871796
0.715699,0.0136496,0.0141758,0.698131,7.2612,9.75532,-0.866103
0.716211,-0.008463,-0.00790943,0.697788,6.97536,9.76343,-0.854092
0.71627,-0.0205955,-0.0178219,0.697292,6.68286,9.7851,-0.858594
0.715885,0.0256468,0.0296429,0.697117,6.46334,9.7916,-0.865066
0.715876,0.00827479,0.0125109,0.698066,6.18119,9.79629,-0.863209
0.715747,-0.0106248,-0.00850723,0.698227,5.91652,9.79375,-0.881468
0.715414,-0.0188642,-0.0174011,0.698229,5.69196,9.79343,-0.911119
0.71534,0.0289729,0.0311064,0.697482,5.47426,9.79222,-0.924526
0.7164,0.0140896,0.0146773,0.697393,5.25234,9.78442,-0.926853
0.716197,-0.00483315,-0.00755967,0.697841,4.96242,9.76505,-0.909593
0.715412,-0.0155096,-0.0172885,0.698317,4.7158,9.77214,-0.908321
0.715175,0.0289077,0.0297761,0.697712,4.47729,9.7783,-0.911539
0.716199,0.0146603,0.0138623,0.697604,4.24687,9.76829,-0.907848
0.715694,-0.00603073,-0.0068968,0.698353,3.96409,9.76643,-0.896781
0.715352,-0.0153453,-0.0159851,0.698413,3.73895,9.76807,-0.886553
0.715185,0.0299883,0.0307616,0.697614,3.49436,9.76952,-0.876593
0.716178,0.0127902,0.0131735,0.697677,3.25438,9.77462,-0.877414
0.715745,-0.00883056,-0.00644925,0.698277,2.98797,9.79744,-0.86417
0.715292,-0.0191188,-0.0163235,0.698373,2.70125,9.80682,-0.876408
0.715332,0.025586,0.0290075,0.697713,2.48859,9.80711,-0.891774
0.716116,0.0110753,0.0128517,0.697775,2.21658,9.80667,-0.893355
0.71611,-0.00935261,-0.0082786,0.697876,1.95133,9.8067,-0.868476
0.715756,-0.018595,-0.0178372,0.697875,1.66517,9.80786,-0.879428
0.715468,0.0254032,0.0277918,0.69763,1.4521,9.80972,-0.880826
0.716164,0.0112765,0.0140189,0.6977,1.23854,9.81747,-0.868908
0.715758,-0.00923466,-0.00574078,0.698264,0.947114,9.82519,-0.874924
0.715133,-0.0188492,-0.0157804,0.698556,0.705317,9.82883,-0.872418
0.714127,-0.0724398,0.027068,0.695732,0.483149,9.8222,-0.869225
0.713136,-0.0611275,0.0135283,0.698224,0.329078,9.75598,-0.868564
0.713974,-0.0396708,-0.0045145,0.699033,0.207022,9.56952,-0.857179
0.715024,-0.0542009,0.0245183,0.696564,0.0974288,9.15159,-0.814655
0.714118,-0.0331862,0.010452,0.69916,0.0849818,8.94077,-0.799746
0.714496,-0.0094902,-0.00512297,0.699556,0.0875458,8.68252,-0.811766
0.715634,0.00748801,-0.0161343,0.698249,0.104105,8.38982,-0.818224
0.716252,-0.0315977,0.0258433,0.696647,0.117571,8.15393,-0.820586
0.716496,-0.012915,0.0102743,0.697396,0.136199,7.86766,-0.822237
0.716765,0.00776361,-0.00837526,0.697221,0.152036,7.56956,-0.816349
0.715959,0.0201438,-0.0178704,0.697623,0.177057,7.28262,-0.81521
0.715445,-0.0236815,0.0257641,0.697792,0.190697,7.0543,-0.820416
0.715418,-0.00804164,0.0106711,0.698569,0.202812,6.77769,-0.81213
0.71564,0.00866831,-0.00686766,0.698382,0.203216,6.51032,-0.788364
0.715756,0.0184905,-0.0182723,0.697867,0.196932,6.23038,-0.759161
0.715543,-0.0279061,0.0250759,0.697561,0.180658,6.02756,-0.745708
0.715794,-0.0147988,0.00971272,0.698087,0.164141,5.81452,-0.73303
0.716062,0.00303656,-0.00560781,0.698008,0.178135,5.53197,-0.742208
0.716124,0.0163012,-0.0141836,0.697639,0.199344,5.29402,-0.751187
0.715755,-0.0269682,0.0294602,0.697208,0.217418,5.05223,-0.751587
0.716325,-0.0104132,0.0139078,0.69755,0.219607,4.82449,-0.741384
0.715828,0.00498516,-0.00440846,0.698245,0.191988,4.54243,-0.741116
0.71527,0.0138028,-0.0174325,0.698494,0.172267,4.30113,-0.758342
0.71505,-0.0300032,0.0243089,0.698006,0.14464,4.05132,-0.796413
0.715504,-0.0151078,0.00843861,0.698395,0.134937,3.82105,-0.809448
0.715514,0.0031515,-0.00690758,0.698558,0.136707,3.5758,-0.816552
0.715262,0.0153428,-0.0173178,0.698473,0.135445,3.28924,-0.802727
0.715057,-0.0294772,0.0256479,0.697974,0.126749,3.08249,-0.790653
0.715563,-0.0158304,0.0115683,0.698273,0.115694,2.83542,-0.771406
0.715357,0.00151999,-0.00722551,0.69872,0.0957919,2.57844,-0.743863
0.715166,0.0131248,-0.0196229,0.698556,0.0759942,2.28002,-0.727209
0.715253,-0.0307927,0.0215498,0.697854,0.0539465,2.05066,-0.736932
0.715801,-0.0151431,0.00630684,0.698112,0.0561246,1.79119,-0.748117
0.716077,0.00500327,-0.00801542,0.697957,0.0830715,1.53528,-0.751864
